ชั้นห่อหุ้มไตจากในสู่นอก	Kidney → Fat layer → **Fibrous tissue (Gerota's fascia)** → ครอบคลุมทั้งไตและ adrenal gland [สไลด์ หน้า 7]	สรุป2026-09-01-uro-anatomy-exam-summary
ภาพตัดขวาง (axial) แสดง fascia รอบไต	Anterior renal fascia, Posterior renal fascia, Lateral conal fascia, Transversalis fascia, Perinephric space/fat, Perinephric bridging septa, Retro-renal space, APS, PPS, Retromesenteric plane [สไลด์ หน้า 7]	สรุป2026-09-01-uro-anatomy-exam-summary
หลอดเลือดไต	Right/Left renal a. & v., Adrenal a. & v., Superior mesenteric a., Right/Left spermatic (หรือ ovarian) a. & v. [สไลด์ หน้า 8]	สรุป2026-09-01-uro-anatomy-exam-summary
โครงสร้างภายในไต (frontal section)	Renal cortex, Renal medulla, Renal column, Renal pyramid (ใน medulla), Renal sinus, Renal papilla, Fat in renal sinus, Renal capsule, Renal hilus → ทางเดินปัสสาวะ: **Nephron → Papillary duct → Minor calyx → Major calyx → Renal pelvis → Ureter → Bladder** [สไลด์ หน้า 9]	สรุป2026-09-01-uro-anatomy-exam-summary
โรคที่เชื่อมกับกายวิภาค	Renal cell carcinoma (เนื้องอกที่เนื้อไต) [สไลด์ หน้า 10], Upper urinary tract cancer (UTUC) — เกิดที่ renal pelvis/ureter/bladder ได้ (papillary/epidermoid carcinoma, papilloma of ureter) [สไลด์ หน้า 11]; การผ่าตัดที่เกี่ยวข้อง: Kidney sparing surgery (flexible URS + laser) หรือ Nephroureterectomy with bladder cuff excision [สไลด์ หน้า 12]	สรุป2026-09-01-uro-anatomy-exam-summary
Nephron ประกอบด้วย	Bowman's capsule, Glomerulus, Afferent/Efferent arteriole, Proximal convoluted tubule, Loop of Henle, Distal convoluted tubule, Collecting tubule/duct, Juxtamedullary glomerulus, Arterial/Venous vasa recta [สไลด์ หน้า 13]	สรุป2026-09-01-uro-anatomy-exam-summary
3 ขั้นตอนสร้างปัสสาวะ	**Glomerular Filtration → Tubular Reabsorption → Tubular Secretion** ไปสู่ peritubular capillary [สไลด์ หน้า 17]	สรุป2026-09-01-uro-anatomy-exam-summary
ความดันที่ควบคุมการกรองที่ glomerulus (net filtration)	Glomerular (blood) hydrostatic pressure **55 mmHg** − Blood colloid osmotic pressure **30 mmHg** + Capsular hydrostatic pressure **15 mmHg** → Net outward pressure **10 mmHg** [สไลด์ หน้า 16]	สรุป2026-09-01-uro-anatomy-exam-summary
Urine production	Glomerular filtration, Tubular reabsorption, Tubular secretion, Acid-Base and Electrolyte balance	สรุป2026-09-01-uro-anatomy-exam-summary
Hormonal function — Vasoconstrictors	Angiotensin II, Endothelin, Norepinephrine, Atrial natriuretic peptide (ANP), Vasopressin	สรุป2026-09-01-uro-anatomy-exam-summary
