David McClelland เริ่มศึกษาแนวคิด Competency ในช่วงปีใด และเขาให้นิยามว่าอย่างไร?	เริ่มปี 1970 นิยามว่าเป็นบุคลิกลักษณะที่ซ่อนอยู่ภายในแต่ละบุคคลซึ่งผลักดันให้สร้างผลการปฏิบัติงานที่ดีหรือตามเกณฑ์ที่กำหนด [สไลด์]	Competency in OR
Iceberg Model ของ McClelland-Spencer แบ่งส่วนที่มองเห็นง่ายกับมองเห็นยากออกเป็นอะไรบ้าง?	ส่วนบนน้ำ (มองเห็นง่าย) = Knowledge + Skill / ส่วนใต้น้ำ (มองเห็นยาก) = Social Role, Self-Image, Trait, Motives [สไลด์]	Competency in OR
สมรรถนะพยาบาลห้องผ่าตัด 4 ด้านตามสมาคมพยาบาลห้องผ่าตัดแห่งประเทศไทย พ.ศ. 2554 มีอะไรบ้าง?	ความปลอดภัยผู้ป่วย / ร่างกาย / การตอบสนองพฤติกรรม / ระบบสุขภาพ [สไลด์]	Competency in OR
Technical Competency แบ่งย่อยเป็นกี่ระดับ อะไรบ้าง?	3 ระดับ — Basic (พื้นฐานทุกคนต้องมี) / Specific (เฉพาะกลุ่มผู้ป่วย) / Advance (บูรณาการคลินิก+เฉพาะทาง) [สไลด์]	Competency in OR
Basic/Specific/Advance เป็นการแบ่งย่อยของ Competency ประเภทใด เป็นประเภทคู่ขนานกับ Core/Non-Technical หรือไม่?	เป็นการแบ่งย่อยของ Technical Competency เท่านั้น ไม่ใช่ประเภทคู่ขนานกับ Core/Non-Technical [สไลด์]	Competency in OR
ตาม Benner (1984) ระดับ Proficient ตรงกับประสบการณ์กี่ปี?	3-5 ปี (Novice 0-1y, Advance beginner 1-2y, Competent 2-3y, Proficient 3-5y, Expert 5y ขึ้นไป) [สไลด์]	Competency in OR
PL1-PL5 (Proficiency Level) จับคู่ตรงกับปีประสบการณ์ของ Benner หรือไม่?	ไม่ได้จับคู่กันโดยตรง — Benner ใช้ปีประสบการณ์เป็นเกณฑ์ ส่วน PL ใช้พฤติกรรมบ่งชี้เป็นเกณฑ์ เป็นคนละกรอบกัน [สไลด์]	Competency in OR
SPINTS (สำหรับพยาบาลส่งเครื่องมือ) มีกี่หมวดหลักตามกรอบดั้งเดิม อะไรบ้าง?	3 หมวด — Situation Awareness, Communication and Teamwork, Task Management [สไลด์]	Competency in OR
NOTSS (สำหรับศัลยแพทย์) มีกี่หมวด ต่างจาก SPINTS อย่างไร?	NOTSS มี 4 หมวด (Situation Awareness, Decision Making, Communication&Teamwork, Leadership) ส่วน SPINTS ดั้งเดิมมีแค่ 3 หมวด ไม่มี Leadership [สไลด์]	Competency in OR
ANTS ใช้ประเมินใคร มีหมวดอะไรบ้าง?	ใช้กับวิสัญญีแพทย์ มี 4 หมวด — Task Management, Team Working, Situation Awareness, Decision Making [สไลด์]	Competency in OR
