อ้างอิง	Kroh M. Innovations and New Technologies in Gastrointestinal Surgery. Med UNAB, 2022;25(3):461-469	สรุป2026-09-02-mis-exam-summary
Benefits of **ICG & Fluorescence Imaging** ใน Lap Hepatectomy	(1) Improved tumor identification (2) Accurate segmental resection (3) Enhances safety (เห็น critical vascular structures real-time)	สรุป2026-09-02-mis-exam-summary
Robotic Instruments Preparation	cannula 8 mm, 5-8 mm cannula seal, gage pin test	สรุป2026-09-02-mis-exam-summary
Robotic Endoscope Preparation	8 mm endoscopes, ใช้ Antifog, **ห้ามใช้ warming liquid เกิน 55°C**	สรุป2026-09-02-mis-exam-summary
Inventory Management	single-use devices, ตรวจสอบผ่าน touchscreen ใต้ setting tab, ต้องมี tracking system (barcode/RFID/ระบบดิจิทัล) และ preventive maintenance	สรุป2026-09-02-mis-exam-summary
Standardize Instrument Tray	Spatula, L-hook, Endoclinch, Marryland, Bowel clamp, Grasper, Scissors	สรุป2026-09-02-mis-exam-summary
Reprocessing	Cleaning/Pre-cleaning ทันทีหลังใช้ด้วย enzymatic detergent+น้ำกลั่น (ห้ามใช้แปรงแข็ง/น้ำร้อนจัด); Disinfection & Sterilization: Low-temperature sterilization (Hydrogen peroxide plasma, E.O.) หรือ Steam sterilization (เฉพาะเครื่องมือทนความร้อน)	สรุป2026-09-02-mis-exam-summary
Extreme positioning	gravitational effect ทำให้อวัยวะเคลื่อนออกจาก surgical field; risk factors: old age, coexisting cardiac/pulmonary disease	สรุป2026-09-02-mis-exam-summary
ผลต่อร่างกาย	เพิ่ม risk of CO2 retention, intracranial pressure, intraocular pressure, mean arterial pressure	สรุป2026-09-02-mis-exam-summary
Super obesity patient	โต๊ะผ่าตัดใหญ่ขึ้น, foot board (reverse Trendelenburg 12-15°), safety strap พิเศษ (extra wide & long), laparoscopic instruments ยาวขึ้น (43-44 cm), เจ้าหน้าที่เพียงพอสำหรับ "**2P safety**" (การเคลื่อนย้ายผู้ป่วย) [สไลด์]	สรุป2026-09-02-mis-exam-summary
Supine-Arm Wrapping	ต้อง tuck แขนให้ถูกตำแหน่ง (ไม่ยื่นเกิน OR Bed Platform) — อ้างอิง AORN 2023 "Best Practices for Safe Perioperative Patient Positioning" [สไลด์]	สรุป2026-09-02-mis-exam-summary
อุปกรณ์ป้องกัน Pressure injury	Prophylactic Foam Dressing (multi-layer), Gel, Bean bag, OR Table pads, Pressure Reduction System (PRS); Normothermia: Warming mattress, Force air warmer, Warm irrigation, Warm CO2 Gas, Room Temp 20-22°C	สรุป2026-09-02-mis-exam-summary
MEWS PI	ใช้ KPI การประเมิน pressure injury; Bundle ป้องกันมี 4 องค์ประกอบ: Maintenance of normothermia, Special padding, Positioning devices, Polyurethane foam dressing [สไลด์]	สรุป2026-09-02-mis-exam-summary
Risk assessment (AORN, 2017)	Laparoscopic surgery + Lithotomy position + **Operative time > 3 ชั่วโมง** + risk factor (old age, obesity)	สรุป2026-09-02-mis-exam-summary
อาการ DVT	บวมขา, ปวด/กดเจ็บ, ผิวหนังอุ่น, ผิวแดง/เปลี่ยนสี	สรุป2026-09-02-mis-exam-summary
อาการ Pulmonary Embolism	หายใจสั้น, เจ็บหน้าอกเฉียบพลัน, วิงเวียน, หัวใจเต้นผิดจังหวะ, ไอเป็นเลือด	สรุป2026-09-02-mis-exam-summary
Intervention	sequential pneumatic compression device	สรุป2026-09-02-mis-exam-summary
