ที่มา	แนวคิดเกิดขึ้นช่วงปี 1970 โดย **David McClelland** (20 พ.ค. 1917 – 27 มี.ค. 1998) นักจิตวิทยาชาวอเมริกัน ศึกษาว่าทำไมคนตำแหน่งเดียวกันมีผลงานต่างกัน [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
นิยาม McClelland	"บุคลิกลักษณะที่ซ่อนอยู่ภายในแต่ละบุคคลซึ่งผลักดันให้สร้างผลการปฏิบัติงานที่ดีหรือตามเกณฑ์ที่กำหนด" [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
นิยามเพิ่ม	"คุณลักษณะของบุคคลที่แสดงพฤติกรรมและความคิดอย่างต่อเนื่อง...เชื่อมโยงกับผลการปฏิบัติงานที่ดีเยี่ยม"; "คุณลักษณะที่มีผลต่อพฤติกรรมและผลการปฏิบัติงาน ประกอบด้วยทักษะ ความรู้ ความสามารถ ทัศนคติ บุคลิกภาพ ค่านิยม" [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
นิยาม สนง. ก.พ. (2553)	"กลุ่มของความรู้ ความสามารถ ทักษะ ทัศนคติที่จำเป็นในการทำงานได้อย่างมีประสิทธิภาพและประสิทธิผล" [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
**Iceberg Model** (อ้างอิง David C. McClelland - Lyle M. Spencer, Jr.)	ส่วนบนน้ำ (มองเห็นง่าย) = ความรู้ (Knowledge) + ทักษะ (Skill); ส่วนใต้น้ำ (มองเห็นยาก) = Social Role, Self-Image, Trait, Motives [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
แหล่ง	หนังสือ "สมรรถนะพยาบาลห้องผ่าตัด (Perioperative Nurse Competencies)" สมาคมพยาบาลห้องผ่าตัดแห่งประเทศไทย พ.ศ. 2554 (ISBN 978-974-350-657-4) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
นิยาม Competency ในหนังสือนี้อ้างอิงหลายแหล่ง	Cambridge International Dictionary (1995), JCAHO (1993 อ้างใน Gruendemann and Fernsebnee, 1995), AORN (1999) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ประเภทสมรรถนะตามจิรประภา อัครบวร (2549)	Core competency / Functional competency (2 ประเภท — คนละกรอบกับ Core/Technical/Non-Technical ของสไลด์นี้เอง) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ด้าน 1 (ความปลอดภัย)	ป้องกันบาดเจ็บเนื้อเยื่อจาก สารเคมี / เครื่องจี้ไฟฟ้า / รังสี / การเคลื่อนย้าย / การจัดท่า	สรุป2026-08-28-competency-in-or-exam-summary
ด้าน 2 (ร่างกาย)	ป้องกันติดเชื้อ, การกำซาบเนื้อเยื่อ, อุณหภูมิกาย, สมดุลสารน้ำ/อิเลคโทรไลท์/กรดด่าง, ระบบหัวใจ-หลอดเลือด, จัดการความปวด	สรุป2026-08-28-competency-in-or-exam-summary
ด้าน 3 (ตอบสนองพฤติกรรม)	ให้ความรู้ผู้ป่วย/ญาติ, จริยธรรมและพิทักษ์สิทธิผู้ป่วย	สรุป2026-08-28-competency-in-or-exam-summary
ด้าน 4 (ระบบสุขภาพ)	ความเป็นวิชาชีพ, ปฏิบัติตามนโยบาย/มาตรฐานหน่วยงาน, สนับสนุนเป้าหมายองค์กร	สรุป2026-08-28-competency-in-or-exam-summary
หมายเหตุแยกกรอบ	สนง.ก.พ. มี **สมรรถนะหลักภาครัฐ 5 ด้าน** ต่างหาก (ดูตาราง 3) — คนละกรอบกับ Core/Technical/Non-Technical ของหน่วยงาน ห้ามปนกัน [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
โครงสร้าง 3 กลุ่มงาน Technical Competency การพยาบาลผ่าตัด	**กลุ่ม 1** หน่วยผ่าตัด (Circulating nurse / Scrub nurse / บริหารจัดการเครื่องมือผ่าตัด), **กลุ่ม 2** หน่วยพักฟื้นก่อน-หลังผ่าตัด (PACU), **กลุ่ม 3** หน่วยตรวจด้วยเครื่องมือพิเศษ [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
PL1	ปฏิบัติตาม WI ถูกต้อง (นับผ้าซับโลหิต/ของมีคม, ล้างมือ, เปิดห่อปลอดเชื้อ, Aseptic/Sterile technique)	สรุป2026-08-28-competency-in-or-exam-summary
PL2	รู้โรค/แนวทางรักษาในขอบเขตหน่วยงาน (พยาธิสรีรภาพ, จัด Position, ยา/สารน้ำ, ป้องกันแทรกซ้อนเช่นสูญเสียความร้อน, จัดเตรียมเครื่องมือพื้นฐาน)	สรุป2026-08-28-competency-in-or-exam-summary
PL3	ประเมินปัญหา ตัดสินใจจัดการสถานการณ์ด้วยตนเอง (Circulating/Scrub nurse ภายใต้พี่เลี้ยง)	สรุป2026-08-28-competency-in-or-exam-summary
PL4	วางแผน/ให้การพยาบาลองค์รวมเหมาะสมรายบุคคล, จัดลำดับความสำคัญ (Early detection เช่น ป้องกัน hypothermia, preoperative visit)	สรุป2026-08-28-competency-in-or-exam-summary
PL5	คาดการณ์/ตัดสินใจแก้ปัญหาสอดคล้องผู้ป่วยแต่ละราย, บูรณาการความรู้ใหม่ (Case management, CQI, Best practice, Innovation, Research)	สรุป2026-08-28-competency-in-or-exam-summary
นิยาม	ทักษะรอบด้าน (กระบวนการคิด สื่อสาร ทักษะสังคม) ร่วมกับ technical skill เพื่อลดผิดพลาด เพิ่มความปลอดภัย; **เรียนรู้/ฝึกได้หลังมีประสบการณ์ทำงานในห้องผ่าตัดแล้วเท่านั้น** ไม่ใช่ก่อนเข้าปฏิบัติงานจริง [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ANTS	วิสัญญีแพทย์	สรุป2026-08-28-competency-in-or-exam-summary
NOTSS	ศัลยแพทย์	สรุป2026-08-28-competency-in-or-exam-summary
SPINTS	พยาบาลส่งเครื่องมือ	สรุป2026-08-28-competency-in-or-exam-summary
SPINTS หมวดย่อย	Situation awareness (Gathering info / Recognizing&understanding / Anticipating), Communication&teamwork (Acting assertively / Exchanging info / Coordinating), Task management (Planning&preparing / Providing&maintaining standards / Coping with pressure) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
งานวิจัยอ้างอิง	"การสังเกตพฤติกรรม Non-technical skill ของพยาบาลส่งเครื่องมือผ่าตัด"; Redaelli I. "Nontechnical skills of the operating theatre circulating nurse: An ethnographic study" (J Adv Nurs, 2018); Kalantari R. et al. "Development and psychometric evaluation of a behavioral marker system for circulating nurse's non-technical skills" (Perioperative Care and Operating Room Management, 2021) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
นิยาม	"การเทียบเคียงความสามารถของผู้ถูกประเมินตามตำแหน่ง บทบาทหน้าที่ ความรับผิดชอบ และความก้าวหน้าในอาชีพ" [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
วิธีประเมิน	**Audit, Certification/Training, CQI/PI, Interview, Observation, Testing** [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
เครื่องมือ	แบบวัดความรู้ (ข้อสอบ), แบบวัดทัศนคติ, แบบวัดการปฏิบัติ [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ความถี่	**ปีละ 1 ครั้ง** เพื่อพัฒนาสมรรถนะให้มีประสิทธิภาพสูงอยู่เสมอ [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
แผนพัฒนา	(1) ผู้รับการประเมินกำหนดเอง (2) ผู้บังคับบัญชากำหนดตามความจำเป็น/ความเร่งด่วน/Schedule อบรม [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
JD พยาบาลผ่าตัดแบ่ง 3 ช่วง	**ก่อนผ่าตัด / ระหว่างผ่าตัด / หลังผ่าตัด** [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
โครงการพัฒนาบุคลากร	โครงการเตรียมความพร้อมก่อนปฏิบัติงาน, โครงการพัฒนาศักยภาพพยาบาลห้องผ่าตัด, โครงการอบรมเฉพาะทางสาขาต่างๆ, Residency Training Program [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
David McClelland	20 พ.ค. 1917 – 27 มี.ค. 1998, นักจิตวิทยาอเมริกัน, เริ่มแนวคิด Competency ปี 1970 [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
สมรรถนะพยาบาลห้องผ่าตัด 4 ด้าน	ความปลอดภัยผู้ป่วย / ร่างกาย / ตอบสนองพฤติกรรม / ระบบสุขภาพ [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
แหล่งกำหนด 4 ด้าน	สมาคมพยาบาลห้องผ่าตัดแห่งประเทศไทย พ.ศ. 2554 (ISBN 978-974-350-657-4) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ประเภท Competency (สไลด์นี้)	Core / Technical / Non-Technical (3 ประเภท) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
Technical Competency ย่อย	Basic / Specific / Advance [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ประเภทสมรรถนะ (จิรประภา อัครบวร, 2549)	Core competency / Functional competency (2 ประเภท) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
Benner (1984)	Novice 0-1y / Advance beginner 1-2y / Competent 2-3y / Proficient 3-5y / Expert 5y+ [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
Proficiency Level	PL1-PL5 (WI ถูกต้อง → บูรณาการ/วิจัย) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ANTS หมวด	Task Mgmt / Team Working / Situation Awareness / Decision Making (4 หมวด, วิสัญญีแพทย์) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
NOTSS หมวด	Situation Awareness / Decision Making / Communication&Teamwork / Leadership (4 หมวด, ศัลยแพทย์) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
SPINTS หมวด (ดั้งเดิม)	Situation Awareness / Communication&Teamwork / Task Management (3 หมวด, พยาบาลส่งเครื่องมือ) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
Non-technical skills in Perioperative Nurses	4 หมวดเต็ม (เพิ่ม Decision making and leadership) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
Scrub/Circulating Nurse Competency	Level 1-5 [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
วิธีประเมิน Competency	Audit / Certification-Training / CQI-PI / Interview / Observation / Testing (6 วิธี) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
เครื่องมือประเมิน	แบบวัดความรู้(ข้อสอบ) / แบบวัดทัศนคติ / แบบวัดการปฏิบัติ (3 แบบ) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
ความถี่ประเมิน	ปีละ 1 ครั้ง [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
สมรรถนะหลักภาครัฐ (ก.พ., 2553)	5 ด้าน: มุ่งผลสัมฤทธิ์ / บริการที่ดี / สั่งสมความเชี่ยวชาญในงานอาชีพ / ยึดมั่นความถูกต้องชอบธรรมและจริยธรรม / ทำงานเป็นทีม [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
สภาการพยาบาล ประกาศสมรรถนะหลัก	ประกาศ ณ 23 ก.พ. 2561 อาศัยมาตรา 22(1),23(1)(ก) พรบ.วิชาชีพการพยาบาลฯ 2528 (แก้ไขฉบับที่2 พ.ศ.2540) [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
Job Description พยาบาลผ่าตัด	ก่อนผ่าตัด / ระหว่างผ่าตัด / หลังผ่าตัด [สไลด์]	สรุป2026-08-28-competency-in-or-exam-summary
